"PKPostId","SymbolFK","score"
"gvvsy82","mvis","0"
"gvvsy82","mvis","0.666666666666667"
"gvvsy82","mvis","1.07142857142857"
"gvvtrmh","tsla","-2.28571428571429"
"gvvu8p1","mvis","0.2"
"gvvu8p1","mvis","0.714285714285714"
"gvvu8p1","mvis","0.75"
"gvvui9y","mvis","0.181818181818182"
"gvvui9y","mvis","0.444444444444444"
"gvvui9y","mvis","0.705882352941177"
"gvvulov","tsla","0.111111111111111"
"gvvup8h","tsla","-2.44444444444444"
"gvvupsw","gme","-0.094553706505295"
"gvvuvjo","gme","0.0149136577708006"
"gvvuwyv","gme","0.0149136577708006"
"gvvuy6v","gme","0.0869894099848714"
"gvvv0u5","gme","-0.0582450832072617"
"gvvvh41","mvis","-0.181818181818182"
"gvvvh41","mvis","0.8"
"gvvvh41","mvis","1.09090909090909"
"gvvvorz","gme","0.0506807866868381"
"gvvvqch","mvis","0"
"gvvvqch","mvis","0.666666666666667"
"gvvvqch","mvis","1.5"
"gvvvuse","mvis","-0.181818181818182"
"gvvvuse","mvis","0.8"
"gvvvuse","mvis","1.09090909090909"
"gvvvy5t","gme","-0.308219178082192"
"gvvw2ug","gme","0.0467494521548576"
"gvvw4db","mvis","0"
"gvvw4db","mvis","0.666666666666667"
"gvvw4db","mvis","1.5"
"gvvw9ig","mvis","0"
"gvvw9ig","mvis","0.666666666666667"
"gvvw9ig","mvis","1.07142857142857"
"gvvwfpg","mvis","0.230769230769231"
"gvvwfpg","mvis","0.6"
"gvvwfpg","mvis","0.705882352941177"
"gvvwkqu","gme","0.0506807866868381"
"gvvwqgq","gme","0.203424657534247"
"gvvwtsy","mvis","0.0769230769230769"
"gvvwtsy","mvis","0.4"
"gvvwtsy","mvis","0.823529411764706"
"gvvx92z","gme","0.0149136577708006"
"gvvx98x","gme","0.0417808219178082"
"gvvxlnh","amc","-0.836363636363636"
"gvvxons","gme","0.138962765957447"
"gvvxth5","gme","0.138962765957447"
"gvvxvli","mvis","0.2"
"gvvxvli","mvis","0.714285714285714"
"gvvxvli","mvis","0.75"
"gvvy2yw","mvis","0"
"gvvy2yw","mvis","0.666666666666667"
"gvvy2yw","mvis","1.07142857142857"
"gvvy7dr","gme","0.217194570135747"
"gvvyrgz","gme","0.0467494521548576"
"gvvz0v2","mvis","0"
"gvvz0v2","mvis","0.666666666666667"
"gvvz0v2","mvis","1.09090909090909"
"gvvz0v2","tsla","1.07692307692308"
"gvvz4pg","gme","0.0149136577708006"
"gvvzbd6","gme","0.0149136577708006"
"gvvzece","amc","-1.34328358208955"
"gvvzszn","gme","0.0467494521548576"
"gvw01v2","gme","-0.134308510638298"
"gvw02vw","gme","0.0506807866868381"
"gvw03jn","mvis","-0.181818181818182"
"gvw03jn","mvis","0.8"
"gvw03jn","mvis","1.09090909090909"
"gvw0f0e","gme","-0.094553706505295"
"gvw0f53","gme","0.0995475113122172"
"gvw0j6i","amc","-0.587155963302752"
"gvw0jzb","gme","-0.12226148409894"
"gvw0thh","gme","0.0995475113122172"
"gvw11ay","mvis","0"
"gvw11ay","mvis","0.136363636363636"
"gvw11ay","mvis","0.176470588235294"
"gvw1d5c","gme","-0.210526315789474"
"gvw1d5c","gme","-0.234042553191489"
"gvw1ia8","gme","-0.130862329803328"
"gvw1ncw","amc","-0.847222222222222"
"gvw1r5e","mvis","-0.120481927710843"
"gvw1r5e","mvis","-0.051948051948052"
"gvw1r5e","mvis","-0.0597014925373134"
"gvw2fet","tsla","0.615384615384615"
"gvw2fet","stz","0.842105263157895"
"gvw2j5i","amc","-0.313725490196078"
"gvw3kr8","gme","0.0869894099848714"
"gvw3sgq","mvis","0"
"gvw3sgq","mvis","0.666666666666667"
"gvw3sgq","mvis","0.214285714285714"
"gvw3zks","mvis","0"
"gvw3zks","mvis","0.666666666666667"
"gvw3zks","mvis","0.428571428571429"
"gvw4437","gme","-0.142465753424658"
"gvw4btl","mvis","-0.181818181818182"
"gvw4btl","mvis","0.8"
"gvw4btl","mvis","1.09090909090909"
"gvw4euh","mvis","0"
"gvw4euh","mvis","0.666666666666667"
"gvw4euh","mvis","0.642857142857143"
"gvw4jsq","mvis","0.05"
"gvw4jsq","mvis","0.5"
"gvw4jsq","mvis","0.3125"
"gvw4lr9","gme","0.0869894099848714"
"gvw5626","mvis","0"
"gvw5626","mvis","0.666666666666667"
"gvw5626","mvis","1.71428571428571"
"gvw5hxk","mvis","0.05"
"gvw5hxk","mvis","0.5"
"gvw5hxk","mvis","0.3125"
"gvw67p7","mvis","0"
"gvw67p7","mvis","0.666666666666667"
"gvw67p7","mvis","0.214285714285714"
"gvw6b4h","gme","0.203424657534247"
"gvw6ey2","gme","0.203424657534247"
"gvw6h7p","gme","0.123298033282905"
"gvw6m26","gme","0.0149136577708006"
"gvw7c8x","gme","0.000598802395209581"
"gvw7dbk","tsla","-2.13636363636364"
"gvw7dwv","gme","0.0149136577708006"
"gvw7fgu","amc","-0.717213114754098"
"gvw802z","mvis","0"
"gvw802z","mvis","0.666666666666667"
"gvw802z","mvis","1.28571428571429"
"gvw80x3","gme","-0.0403587443946188"
"gvw8271","mvis","-0.181818181818182"
"gvw8271","mvis","0.8"
"gvw8271","mvis","1.09090909090909"
"gvw84oo","gme","0.000598802395209581"
"gvw8cdo","gme","-0.094553706505295"
"gvw8n8n","tsla","-2"
"gvw8net","gme","-0.157597173144876"
"gvw9326","tsla","-0.5"
"gvw9eai","nflx","0.587542087542088"
"gvwac2w","gme","-0.0582450832072617"
"gvwau86","mvis","0.888888888888889"
"gvwau86","mvis","0.957575757575758"
"gvwau86","mvis","1.01935483870968"
"gvwau86","tsla","1.05084745762712"
"gvwaw5h","tsla","0.833333333333333"
"gvwaw5h","stz","1"
"gvwbqm3","mvis","0"
"gvwbqm3","mvis","0.666666666666667"
"gvwbqm3","mvis","1.28571428571429"
"gvwbrgk","gme","-0.253003533568905"
"gvwbv56","mvis","0"
"gvwbv56","mvis","0.666666666666667"
"gvwbv56","mvis","1.28571428571429"
"gvwcaik","mvis","0"
"gvwcaik","mvis","0.666666666666667"
"gvwcaik","mvis","0.428571428571429"
"gvwcc6u","mvis","0.05"
"gvwcc6u","mvis","0.5"
"gvwcc6u","mvis","0.3125"
"gvwcf0q","mvis","0.105263157894737"
"gvwcf0q","mvis","0.615384615384615"
"gvwcf0q","mvis","1.38461538461538"
"gvwcf0q","tsla","1.68421052631579"
"gvwd4iw","amc","-1.1906976744186"
"gvwdg20","mvis","0.195121951219512"
"gvwdg20","mvis","0.4"
"gvwdg20","mvis","0.56"
"gvwdj4j","mvis","0"
"gvwdj4j","mvis","0.666666666666667"
"gvwdj4j","mvis","1.28571428571429"
"gvwe0ov","gme","0.0149136577708006"
"gvwexbm","gme","0.151935719503287"
"gvwf62a","amc","-1.06046511627907"
"gvwfdlu","mvis","0.307692307692308"
"gvwfdlu","mvis","0.7"
"gvwfdlu","mvis","0.882352941176471"
"gvwfzc0","mvis","0.346153846153846"
"gvwfzc0","mvis","0.75"
"gvwfzc0","mvis","1.29411764705882"
"gvwg22m","mvis","0.272727272727273"
"gvwg22m","mvis","0.555555555555556"
"gvwg22m","mvis","0.882352941176471"
"gvwkkgs","mvis","0.05"
"gvwkkgs","mvis","0.5"
"gvwkkgs","mvis","0.3125"
"gvwmmpo","gme","-0.125088339222615"
"gvwnuuh","gme","-0.049469964664311"
"gvwnv7d","tsla","-2.2"
"gvwqi54","tsla","0.5"
"gvwrppm","mvis","-0.181818181818182"
"gvwrppm","mvis","0.8"
"gvwrppm","mvis","1.09090909090909"
"gvwt8f7","mvis","0"
"gvwt8f7","mvis","0.666666666666667"
"gvwt8f7","mvis","0.642857142857143"
"gvwteyl","amc","-0.577777777777778"
"gvwuvtx","amc","-0.722222222222222"
"gvww7bn","huya","3"
"gvwygin","gme","0.0995475113122172"
"gvwzb2t","mvis","0"
"gvwzb2t","mvis","0.666666666666667"
"gvwzb2t","mvis","0.642857142857143"
"gvx08m3","tsla","-0.333333333333333"
"gvx1lqg","amzn","1.30790006752194"
"gvx1oku","mvis","-0.120481927710843"
"gvx1oku","mvis","-0.051948051948052"
"gvx1oku","mvis","-0.0597014925373134"
"gvx1tv1","amzn","1.30208333333333"
"gvx1xkf","amzn","1.30790006752194"
"gvx227n","amzn","1.29773869346734"
"gvx26qe","amzn","1.31394533987386"
"gvx2aql","mvis","0"
"gvx2aql","mvis","0.666666666666667"
"gvx2aql","mvis","1.07142857142857"
"gvx2inm","gme","0.0149136577708006"
"gvx2pla","mvis","0.307692307692308"
"gvx2pla","mvis","0.7"
"gvx2pla","mvis","0.882352941176471"
"gvx2tvp","huya","1"
"gvx2tvp","doyu","1"
"gvx2tvp","huya","1.33333333333333"
"gvx2tvp","tme","1.6"
"gvx3zba","amzn","1.31394533987386"
"gvx42in","amzn","1.30790006752194"
"gvx4km4","amzn","1.30790006752194"
"gvx4lm7","amzn","1.30338541666667"
"gvx4nqh","amzn","1.28831658291457"
"gvx57rq","amzn","1.31394533987386"
"gvx58tc","amzn","1.30790006752194"
"gvx5d0z","mvis","0"
"gvx5d0z","mvis","0.666666666666667"
"gvx5d0z","mvis","1.28571428571429"
"gvx5ioa","gme","0.176047904191617"
"gvx5rjr","amzn","1.29396984924623"
"gvx5tec","amzn","1.31394533987386"
"gvx671s","amzn","1.30208333333333"
"gvx69bp","amzn","1.30338541666667"
"gvx69bz","amzn","1.30790006752194"
"gvx6lxf","amzn","1.31394533987386"
"gvx6mcq","ubs","-0.88230117698823"
"gvx70mx","amzn","1.31394533987386"
"gvx7n05","amzn","1.30790006752194"
"gvx7t8z","amzn","1.30790006752194"
"gvx7tz6","ubs","-0.874866538543669"
"gvx7vgz","amzn","1.30338541666667"
"gvx84vx","mvis","0.346153846153846"
"gvx84vx","mvis","0.75"
"gvx84vx","mvis","1.29411764705882"
"gvx87ia","amzn","1.30790006752194"
"gvx8fni","amzn","1.30338541666667"
"gvx8myd","amzn","1.31394533987386"
"gvx8o4q","mvis","0"
"gvx8o4q","mvis","0.666666666666667"
"gvx8o4q","mvis","1.5"
"gvx95ac","amzn","1.30790006752194"
"gvx9bje","amzn","1.31394533987386"
"gvx9c4y","mvis","0"
"gvx9c4y","mvis","0.666666666666667"
"gvx9c4y","mvis","0.642857142857143"
"gvx9dqm","ubs","-0.878521889900303"
"gvx9nyb","amzn","1.27895694360218"
"gvx9rz3","amc","-0.349206349206349"
"gvx9urn","amzn","1.31394533987386"
